highway,name,wkt_geom,category,geometry
trunk,Johanneshovsbron,"LINESTRING (18.079627600000002 59.301864200000004, 18.078982500000002 59.302286900000006, 18.078634 59.302526900000004, 18.0783446 59.3027438, 18.0780318 59.3030016, 18.0777413 59.3032532, 18.0775101 59.3034802, 18.077251 59.30374750000001, 18.0767223 59.3043716, 18.0762463 59.3050064, 18.076013800000002 59.305340300000005, 18.0759127 59.3055012)",Arterial & Major,"LINESTRING (18.079627600000002 59.301864200000004, 18.078982500000002 59.302286900000006, 18.078634 59.302526900000004, 18.0783446 59.3027438, 18.0780318 59.3030016, 18.0777413 59.3032532, 18.0775101 59.3034802, 18.077251 59.30374750000001, 18.0767223 59.3043716, 18.0762463 59.3050064, 18.076013800000002 59.305340300000005, 18.0759127 59.3055012)"
residential,Metargatan,"LINESTRING (18.086532300000002 59.308268000000005, 18.0868134 59.308299500000004)",Local & Neighborhood,"LINESTRING (18.086532300000002 59.308268000000005, 18.0868134 59.308299500000004)"
residential,Katarina Bangata,"LINESTRING (18.0841634 59.310590000000005, 18.084166800000002 59.310602300000006)",Local & Neighborhood,"LINESTRING (18.0841634 59.310590000000005, 18.084166800000002 59.310602300000006)"
residential,Gotlandsgatan,"LINESTRING (18.084166800000002 59.310602300000006, 18.084200300000003 59.3106288, 18.0842384 59.3106425, 18.0843211 59.310665400000005, 18.0856484 59.31085160000001)",Local & Neighborhood,"LINESTRING (18.084166800000002 59.310602300000006, 18.084200300000003 59.3106288, 18.0842384 59.3106425, 18.0843211 59.310665400000005, 18.0856484 59.31085160000001)"
residential,Gotlandsgatan,"LINESTRING (18.0783877 59.3097688, 18.0783945 59.3097903, 18.078349600000003 59.3099028)",Local & Neighborhood,"LINESTRING (18.0783877 59.3097688, 18.0783945 59.3097903, 18.078349600000003 59.3099028)"
unclassified,Jägargatan,"LINESTRING (18.0528614 59.3091525, 18.0525658 59.3091811)",Local & Neighborhood,"LINESTRING (18.0528614 59.3091525, 18.0525658 59.3091811)"
residential,Metargatan,"LINESTRING (18.085444000000003 59.3081529, 18.0856615 59.3081703, 18.086532300000002 59.308268000000005)",Local & Neighborhood,"LINESTRING (18.085444000000003 59.3081529, 18.0856615 59.3081703, 18.086532300000002 59.308268000000005)"
service,,"LINESTRING (18.0464226 59.3109582, 18.046108800000003 59.310898)",Minor & Service,"LINESTRING (18.0464226 59.3109582, 18.046108800000003 59.310898)"
service,,"LINESTRING (18.054031300000002 59.3087402, 18.0540363 59.3087249, 18.054060200000002 59.3086532, 18.0543917 59.308576900000006)",Minor & Service,"LINESTRING (18.054031300000002 59.3087402, 18.0540363 59.3087249, 18.054060200000002 59.3086532, 18.0543917 59.308576900000006)"
primary_link,,"LINESTRING (18.0947786 59.316250700000005, 18.094752800000002 59.3161865, 18.0947456 59.3160716)",Arterial & Major,"LINESTRING (18.0947786 59.316250700000005, 18.094752800000002 59.3161865, 18.0947456 59.3160716)"
residential,Högbergsbacken,"LINESTRING (18.0602571 59.3148088, 18.061197800000002 59.314934, 18.0612201 59.3149364)",Local & Neighborhood,"LINESTRING (18.0602571 59.3148088, 18.061197800000002 59.314934, 18.0612201 59.3149364)"
tertiary,Folkungagatan,"LINESTRING (18.0949443 59.315264500000005, 18.0951334 59.315246200000004, 18.0953331 59.315196500000006)",Arterial & Major,"LINESTRING (18.0949443 59.315264500000005, 18.0951334 59.315246200000004, 18.0953331 59.315196500000006)"
service,,"LINESTRING (18.1014905 59.31253160000001, 18.1013351 59.312586200000005, 18.101226200000003 59.312670600000004, 18.1011408 59.31279970000001, 18.101088 59.312891300000004, 18.100970200000003 59.3129879)",Minor & Service,"LINESTRING (18.1014905 59.31253160000001, 18.1013351 59.312586200000005, 18.101226200000003 59.312670600000004, 18.1011408 59.31279970000001, 18.101088 59.312891300000004, 18.100970200000003 59.3129879)"
residential,Södermannagatan,"LINESTRING (18.0831069 59.308369600000006, 18.0831594 59.308265600000006)",Local & Neighborhood,"LINESTRING (18.0831069 59.308369600000006, 18.0831594 59.308265600000006)"
residential,Malmgårdsvägen,"LINESTRING (18.087315500000003 59.3104828, 18.0871433 59.3105691, 18.087127900000002 59.3105758)",Local & Neighborhood,"LINESTRING (18.087315500000003 59.3104828, 18.0871433 59.3105691, 18.087127900000002 59.3105758)"
service,,"LINESTRING (18.079927700000002 59.3045539, 18.080227400000002 59.3039623)",Minor & Service,"LINESTRING (18.079927700000002 59.3045539, 18.080227400000002 59.3039623)"
secondary,Götgatan,"LINESTRING (18.076742900000003 59.3075404, 18.0767145 59.3075976, 18.0766889 59.3076486, 18.0766542 59.307715900000005)",Arterial & Major,"LINESTRING (18.076742900000003 59.3075404, 18.0767145 59.3075976, 18.0766889 59.3076486, 18.0766542 59.307715900000005)"
unclassified,Tideliusgatan,"LINESTRING (18.063288800000002 59.3109607, 18.0631749 59.310945800000006)",Local & Neighborhood,"LINESTRING (18.063288800000002 59.3109607, 18.0631749 59.310945800000006)"
tertiary,Götgatan,"LINESTRING (18.075941 59.308826, 18.075987100000003 59.308730700000005, 18.076012900000002 59.30867730000001, 18.0760624 59.308582300000005)",Arterial & Major,"LINESTRING (18.075941 59.308826, 18.075987100000003 59.308730700000005, 18.076012900000002 59.30867730000001, 18.0760624 59.308582300000005)"
tertiary,Götgatan,"LINESTRING (18.0755474 59.309614800000006, 18.0756242 59.3094642, 18.075642000000002 59.3094248, 18.0756944 59.309326000000006)",Arterial & Major,"LINESTRING (18.0755474 59.309614800000006, 18.0756242 59.3094642, 18.075642000000002 59.3094248, 18.0756944 59.309326000000006)"
tertiary,Götgatan,"LINESTRING (18.0749408 59.310810100000005, 18.0749964 59.3106955, 18.075027900000002 59.310627800000006, 18.075077 59.310531700000006)",Arterial & Major,"LINESTRING (18.0749408 59.310810100000005, 18.0749964 59.3106955, 18.075027900000002 59.310627800000006, 18.075077 59.310531700000006)"
tertiary,Götgatan,"LINESTRING (18.0747343 59.3114757, 18.0746861 59.31156910000001, 18.0746653 59.3116112, 18.0745758 59.311798700000004)",Arterial & Major,"LINESTRING (18.0747343 59.3114757, 18.0746861 59.31156910000001, 18.0746653 59.3116112, 18.0745758 59.311798700000004)"
