highway,name,wkt_geom,category,geometry
service,Skarpskyttestigen,"LINESTRING (18.037646900000002 59.31453320000001, 18.0377096 59.3144994, 18.0377471 59.314430900000005, 18.0378671 59.3142031, 18.0379389 59.314043600000005, 18.0379596 59.3139976, 18.0379672 59.3139784, 18.0380824 59.3136875)",Minor & Service,"LINESTRING (18.037646900000002 59.31453320000001, 18.0377096 59.3144994, 18.0377471 59.314430900000005, 18.0378671 59.3142031, 18.0379389 59.314043600000005, 18.0379596 59.3139976, 18.0379672 59.3139784, 18.0380824 59.3136875)"
residential,Östgötagatan,"LINESTRING (18.076561 59.314401700000005, 18.076551300000002 59.314422, 18.076527300000002 59.314477600000004, 18.0764913 59.314558100000006)",Local & Neighborhood,"LINESTRING (18.076561 59.314401700000005, 18.076551300000002 59.314422, 18.076527300000002 59.314477600000004, 18.0764913 59.314558100000006)"
residential,Södermannagatan,"LINESTRING (18.079419400000003 59.3155786, 18.0794818 59.315464000000006)",Local & Neighborhood,"LINESTRING (18.079419400000003 59.3155786, 18.0794818 59.315464000000006)"
residential,Högalidsgatan,"LINESTRING (18.0366217 59.3181486, 18.037448 59.3181816, 18.037971000000002 59.318201800000004)",Local & Neighborhood,"LINESTRING (18.0366217 59.3181486, 18.037448 59.3181816, 18.037971000000002 59.318201800000004)"
residential,Bellmansgatan,"LINESTRING (18.064793700000003 59.32014710000001, 18.0649702 59.319807000000004)",Local & Neighborhood,"LINESTRING (18.064793700000003 59.32014710000001, 18.0649702 59.319807000000004)"
secondary,Ringvägen,"LINESTRING (18.080094300000003 59.3082956, 18.079889400000003 59.3082452, 18.0798262 59.3082318, 18.0796411 59.308194300000004)",Arterial & Major,"LINESTRING (18.080094300000003 59.3082956, 18.079889400000003 59.3082452, 18.0798262 59.3082318, 18.0796411 59.308194300000004)"
residential,Assessorsgatan,"LINESTRING (18.068890800000002 59.309695700000006, 18.0689776 59.3095082, 18.0690965 59.3092764, 18.0690809 59.309135700000006, 18.0690516 59.30898560000001, 18.068972300000002 59.3088234, 18.068965600000002 59.3087906)",Local & Neighborhood,"LINESTRING (18.068890800000002 59.309695700000006, 18.0689776 59.3095082, 18.0690965 59.3092764, 18.0690809 59.309135700000006, 18.0690516 59.30898560000001, 18.068972300000002 59.3088234, 18.068965600000002 59.3087906)"
residential,Blekingegatan,"LINESTRING (18.068890800000002 59.309695700000006, 18.068617800000002 59.309678600000005)",Local & Neighborhood,"LINESTRING (18.068890800000002 59.309695700000006, 18.068617800000002 59.309678600000005)"
residential,Södermannagatan,"LINESTRING (18.0803058 59.313901200000004, 18.080332600000002 59.3138531, 18.080397100000003 59.3137374)",Local & Neighborhood,"LINESTRING (18.0803058 59.313901200000004, 18.080332600000002 59.3138531, 18.080397100000003 59.3137374)"
residential,Erstagatan,"LINESTRING (18.090164400000003 59.314583400000004, 18.0901581 59.3146713, 18.090149 59.314757500000006)",Local & Neighborhood,"LINESTRING (18.090164400000003 59.314583400000004, 18.0901581 59.3146713, 18.090149 59.314757500000006)"
residential,Ploggatan,"LINESTRING (18.0927729 59.3144562, 18.0927319 59.3143843)",Local & Neighborhood,"LINESTRING (18.0927729 59.3144562, 18.0927319 59.3143843)"
residential,Tjärhovsgatan,"LINESTRING (18.085875400000003 59.315841400000004, 18.0857902 59.316024000000006, 18.0857427 59.3160541, 18.085661 59.3160704, 18.085101400000003 59.316092100000006)",Local & Neighborhood,"LINESTRING (18.085875400000003 59.315841400000004, 18.0857902 59.316024000000006, 18.0857427 59.3160541, 18.085661 59.3160704, 18.085101400000003 59.316092100000006)"
service,,"LINESTRING (18.0453297 59.316377200000005, 18.045270300000002 59.3163375, 18.045254200000002 59.3162968, 18.045278200000002 59.3162419, 18.045352100000002 59.3162018, 18.045450600000002 59.3161861, 18.045776800000002 59.31617850000001, 18.045964700000003 59.316191700000005, 18.0463199 59.316229400000005, 18.0469116 59.316331600000005, 18.046975800000002 59.316344400000006, 18.0473134 59.316385100000005, 18.0476648 59.31638710000001, 18.0478647 59.3163829)",Minor & Service,"LINESTRING (18.0453297 59.316377200000005, 18.045270300000002 59.3163375, 18.045254200000002 59.3162968, 18.045278200000002 59.3162419, 18.045352100000002 59.3162018, 18.045450600000002 59.3161861, 18.045776800000002 59.31617850000001, 18.045964700000003 59.316191700000005, 18.0463199 59.316229400000005, 18.0469116 59.316331600000005, 18.046975800000002 59.316344400000006, 18.0473134 59.316385100000005, 18.0476648 59.31638710000001, 18.0478647 59.3163829)"
residential,Kattgränd,"LINESTRING (18.0573541 59.3199843, 18.0575814 59.31932990000001)",Local & Neighborhood,"LINESTRING (18.0573541 59.3199843, 18.0575814 59.31932990000001)"
residential,Brännkyrkagatan,"LINESTRING (18.0454066 59.317566400000004, 18.0456343 59.317590100000004)",Local & Neighborhood,"LINESTRING (18.0454066 59.317566400000004, 18.0456343 59.317590100000004)"
residential,Ringvägen,"LINESTRING (18.0502004 59.31798130000001, 18.0504083 59.3175413, 18.0504287 59.317499100000006, 18.050473800000002 59.3173978)",Local & Neighborhood,"LINESTRING (18.0502004 59.31798130000001, 18.0504083 59.3175413, 18.0504287 59.317499100000006, 18.050473800000002 59.3173978)"
residential,Ekermans Gränd,"LINESTRING (18.0516979 59.3120552, 18.051843 59.3120916, 18.052413700000002 59.312416400000004, 18.052719500000002 59.3125877)",Local & Neighborhood,"LINESTRING (18.0516979 59.3120552, 18.051843 59.3120916, 18.052413700000002 59.312416400000004, 18.052719500000002 59.3125877)"
residential,Tantogatan,"LINESTRING (18.0520029 59.3114611, 18.0513312 59.3113784, 18.051113700000002 59.311374)",Local & Neighborhood,"LINESTRING (18.0520029 59.3114611, 18.0513312 59.3113784, 18.051113700000002 59.311374)"
residential,Vickergatan,"LINESTRING (18.0564092 59.3072273, 18.0585811 59.306806, 18.059074600000002 59.306707100000004, 18.0594463 59.3066345, 18.0598224 59.30657360000001, 18.060225300000003 59.3065251, 18.0604313 59.306494, 18.060716300000003 59.3064516, 18.0610551 59.3064145, 18.061446 59.306369600000004, 18.0617001 59.306347800000005, 18.0619373 59.306340600000006, 18.062167000000002 59.306347900000006, 18.062450600000002 59.306359900000004, 18.0627652 59.3063858, 18.0630624 59.306410400000004, 18.0634276 59.306446400000006, 18.0636291 59.306459700000005, 18.0638495 59.3064581)",Local & Neighborhood,"LINESTRING (18.0564092 59.3072273, 18.0585811 59.306806, 18.059074600000002 59.306707100000004, 18.0594463 59.3066345, 18.0598224 59.30657360000001, 18.060225300000003 59.3065251, 18.0604313 59.306494, 18.060716300000003 59.3064516, 18.0610551 59.3064145, 18.061446 59.306369600000004, 18.0617001 59.306347800000005, 18.0619373 59.306340600000006, 18.062167000000002 59.306347900000006, 18.062450600000002 59.306359900000004, 18.0627652 59.3063858, 18.0630624 59.306410400000004, 18.0634276 59.306446400000006, 18.0636291 59.306459700000005, 18.0638495 59.3064581)"
residential,Glasbruksgatan,"LINESTRING (18.0787842 59.318066, 18.0791159 59.3179785, 18.079526700000002 59.317919700000004, 18.0798333 59.317875, 18.0799682 59.317855300000005)",Local & Neighborhood,"LINESTRING (18.0787842 59.318066, 18.0791159 59.3179785, 18.079526700000002 59.317919700000004, 18.0798333 59.317875, 18.0799682 59.317855300000005)"
residential,Tegelviksgatan,"LINESTRING (18.099176500000002 59.3125074, 18.0987514 59.3117102, 18.098687400000003 59.3116174, 18.0986516 59.311565400000006, 18.0982138 59.3107447)",Local & Neighborhood,"LINESTRING (18.099176500000002 59.3125074, 18.0987514 59.3117102, 18.098687400000003 59.3116174, 18.0986516 59.311565400000006, 18.0982138 59.3107447)"
unclassified,Norra Hammarbyhamnen,"LINESTRING (18.0899042 59.3061372, 18.089992000000002 59.30611450000001, 18.090121800000002 59.306128, 18.0907403 59.30630360000001, 18.0913863 59.3064558, 18.092418300000002 59.3067013, 18.093782 59.3070266, 18.0960505 59.3075715, 18.0963485 59.30765770000001, 18.096825300000003 59.3078785, 18.097402300000002 59.308133100000006)",Local & Neighborhood,"LINESTRING (18.0899042 59.3061372, 18.089992000000002 59.30611450000001, 18.090121800000002 59.306128, 18.0907403 59.30630360000001, 18.0913863 59.3064558, 18.092418300000002 59.3067013, 18.093782 59.3070266, 18.0960505 59.3075715, 18.0963485 59.30765770000001, 18.096825300000003 59.3078785, 18.097402300000002 59.308133100000006)"
residential,Skånegatan,"LINESTRING (18.087983100000002 59.3131678, 18.0882606 59.3131301)",Local & Neighborhood,"LINESTRING (18.087983100000002 59.3131678, 18.0882606 59.3131301)"
residential,Högbergsgatan,"LINESTRING (18.070971 59.3163951, 18.0708255 59.3163454, 18.0704108 59.3162907, 18.0702171 59.316289700000006)",Local & Neighborhood,"LINESTRING (18.070971 59.3163951, 18.0708255 59.3163454, 18.0704108 59.3162907, 18.0702171 59.316289700000006)"
residential,Siargatan,"LINESTRING (18.0689238 59.311435200000005, 18.0690187 59.3114508, 18.069057 59.311491600000004, 18.0689223 59.311792100000005)",Local & Neighborhood,"LINESTRING (18.0689238 59.311435200000005, 18.0690187 59.3114508, 18.069057 59.311491600000004, 18.0689223 59.311792100000005)"
unclassified,Klefbecks Backe,"LINESTRING (18.0874509 59.312670000000004, 18.0874645 59.3125951, 18.087507000000002 59.3124563)",Local & Neighborhood,"LINESTRING (18.0874509 59.312670000000004, 18.0874645 59.3125951, 18.087507000000002 59.3124563)"
service,,"LINESTRING (18.0880875 59.3126381, 18.0879023 59.3125737, 18.087687300000002 59.312474900000005, 18.087507000000002 59.3124563)",Minor & Service,"LINESTRING (18.0880875 59.3126381, 18.0879023 59.3125737, 18.087687300000002 59.312474900000005, 18.087507000000002 59.3124563)"
tertiary,Söder Mälarstrand,"LINESTRING (18.0338914 59.319729, 18.0342981 59.319816800000005, 18.0344038 59.319840600000006)",Arterial & Major,"LINESTRING (18.0338914 59.319729, 18.0342981 59.319816800000005, 18.0344038 59.319840600000006)"
secondary,Långholmsgatan,"LINESTRING (18.034174200000002 59.314869, 18.034189400000002 59.314815700000004, 18.0341923 59.314775000000004, 18.034186000000002 59.31472720000001)",Arterial & Major,"LINESTRING (18.034174200000002 59.314869, 18.034189400000002 59.314815700000004, 18.0341923 59.314775000000004, 18.034186000000002 59.31472720000001)"
residential,Tjärhovsgatan,"LINESTRING (18.075123 59.3150266, 18.0752466 59.315041400000005)",Local & Neighborhood,"LINESTRING (18.075123 59.3150266, 18.0752466 59.315041400000005)"
trunk,Söderleden,"LINESTRING (18.0754363 59.3063268, 18.075295500000003 59.306622600000004, 18.075096300000002 59.3071308)",Arterial & Major,"LINESTRING (18.0754363 59.3063268, 18.075295500000003 59.306622600000004, 18.075096300000002 59.3071308)"
service,,"LINESTRING (18.0955337 59.3168421, 18.095865500000002 59.3167764)",Minor & Service,"LINESTRING (18.0955337 59.3168421, 18.095865500000002 59.3167764)"
tertiary,Södermalmsavfarten,"LINESTRING (18.0714961 59.313959600000004, 18.0715606 59.313946900000005, 18.0716585 59.313947000000006)",Arterial & Major,"LINESTRING (18.0714961 59.313959600000004, 18.0715606 59.313946900000005, 18.0716585 59.313947000000006)"
residential,Bastugatan,"LINESTRING (18.063477900000002 59.3203504, 18.063691300000002 59.3203602)",Local & Neighborhood,"LINESTRING (18.063477900000002 59.3203504, 18.063691300000002 59.3203602)"
residential,Skinnarviksringen,"LINESTRING (18.0477706 59.31870180000001, 18.0476941 59.318811800000006)",Local & Neighborhood,"LINESTRING (18.0477706 59.31870180000001, 18.0476941 59.318811800000006)"
service,,"LINESTRING (18.055213900000002 59.314357300000005, 18.055014200000002 59.3140653)",Minor & Service,"LINESTRING (18.055213900000002 59.314357300000005, 18.055014200000002 59.3140653)"
service,,"LINESTRING (18.0681517 59.30467410000001, 18.0679149 59.3047229)",Minor & Service,"LINESTRING (18.0681517 59.30467410000001, 18.0679149 59.3047229)"
secondary,Hornsgatan,"LINESTRING (18.0464579 59.3169023, 18.0457554 59.316796100000005)",Arterial & Major,"LINESTRING (18.0464579 59.3169023, 18.0457554 59.316796100000005)"
tertiary,Hornsgatan,"LINESTRING (18.059879000000002 59.3185718, 18.0597202 59.318550800000004, 18.0579878 59.31833880000001)",Arterial & Major,"LINESTRING (18.059879000000002 59.3185718, 18.0597202 59.318550800000004, 18.0579878 59.31833880000001)"
tertiary,Torkel Knutssonsgatan,"LINESTRING (18.056340300000002 59.3203607, 18.0563234 59.32005830000001, 18.0563143 59.3197538)",Arterial & Major,"LINESTRING (18.056340300000002 59.3203607, 18.0563234 59.32005830000001, 18.0563143 59.3197538)"
tertiary,Renstiernas Gata,"LINESTRING (18.084120900000002 59.314850500000006, 18.084089600000002 59.314915600000006, 18.0839593 59.315182400000005)",Arterial & Major,"LINESTRING (18.084120900000002 59.314850500000006, 18.084089600000002 59.314915600000006, 18.0839593 59.315182400000005)"
residential,Bondegatan,"LINESTRING (18.0820914 59.3132729, 18.082193 59.3132857, 18.0823244 59.313302300000004)",Local & Neighborhood,"LINESTRING (18.0820914 59.3132729, 18.082193 59.3132857, 18.0823244 59.313302300000004)"
residential,Södermannagatan,"LINESTRING (18.0806545 59.313233600000004, 18.080698100000003 59.31314750000001, 18.080722100000003 59.31310010000001)",Local & Neighborhood,"LINESTRING (18.0806545 59.313233600000004, 18.080698100000003 59.31314750000001, 18.080722100000003 59.31310010000001)"
residential,Borgmästargatan,"LINESTRING (18.0861868 59.315117, 18.0861653 59.315173900000005)",Local & Neighborhood,"LINESTRING (18.0861868 59.315117, 18.0861653 59.315173900000005)"
residential,Gotlandsgatan,"LINESTRING (18.0834031 59.310618100000006, 18.0832206 59.310558500000006)",Local & Neighborhood,"LINESTRING (18.0834031 59.310618100000006, 18.0832206 59.310558500000006)"
service,,"LINESTRING (18.039790500000002 59.318272300000004, 18.0399375 59.318429800000004, 18.040070500000002 59.3185483, 18.0403664 59.3186455, 18.0405292 59.3186989)",Minor & Service,"LINESTRING (18.039790500000002 59.318272300000004, 18.0399375 59.318429800000004, 18.040070500000002 59.3185483, 18.0403664 59.3186455, 18.0405292 59.3186989)"
residential,Bastugatan,"LINESTRING (18.062519 59.320294700000005, 18.063477900000002 59.3203504)",Local & Neighborhood,"LINESTRING (18.062519 59.320294700000005, 18.063477900000002 59.3203504)"
residential,Malmgårdsvägen,"LINESTRING (18.0907619 59.309009100000004, 18.0909722 59.3089245)",Local & Neighborhood,"LINESTRING (18.0907619 59.309009100000004, 18.0909722 59.3089245)"
residential,Åsögatan,"LINESTRING (18.0927729 59.3144562, 18.0946277 59.31436540000001, 18.0949733 59.3143497)",Local & Neighborhood,"LINESTRING (18.0927729 59.3144562, 18.0946277 59.31436540000001, 18.0949733 59.3143497)"
unclassified,Sjukhusbacken,"LINESTRING (18.057839400000002 59.3101178, 18.0576088 59.3101629, 18.0571288 59.3102011, 18.056786000000002 59.31022840000001)",Local & Neighborhood,"LINESTRING (18.057839400000002 59.3101178, 18.0576088 59.3101629, 18.0571288 59.3102011, 18.056786000000002 59.31022840000001)"
residential,Nytorgsgatan,"LINESTRING (18.0799682 59.317855300000005, 18.080019 59.31780380000001, 18.0801078 59.317648600000005)",Local & Neighborhood,"LINESTRING (18.0799682 59.317855300000005, 18.080019 59.31780380000001, 18.0801078 59.317648600000005)"
unclassified,Jägargatan,"LINESTRING (18.054031300000002 59.3087402, 18.0538232 59.3087572, 18.0536114 59.308785, 18.0534605 59.3088211, 18.053357300000002 59.308873000000006)",Local & Neighborhood,"LINESTRING (18.054031300000002 59.3087402, 18.0538232 59.3087572, 18.0536114 59.308785, 18.0534605 59.3088211, 18.053357300000002 59.308873000000006)"
residential,Björngårdsgatan,"LINESTRING (18.0656512 59.31641260000001, 18.0652866 59.317082400000004)",Local & Neighborhood,"LINESTRING (18.0656512 59.31641260000001, 18.0652866 59.317082400000004)"
residential,Fatburs Brunnsgata,"LINESTRING (18.0636751 59.3136779, 18.06387 59.31372150000001, 18.0648139 59.3138341, 18.0649905 59.313855200000006)",Local & Neighborhood,"LINESTRING (18.0636751 59.3136779, 18.06387 59.31372150000001, 18.0648139 59.3138341, 18.0649905 59.313855200000006)"
residential,Bergsunds Strand,"LINESTRING (18.030003100000002 59.315469400000005, 18.0301923 59.3154928, 18.0303662 59.315510800000006)",Local & Neighborhood,"LINESTRING (18.030003100000002 59.315469400000005, 18.0301923 59.3154928, 18.0303662 59.315510800000006)"
residential,Rosenlundsgatan,"LINESTRING (18.0571947 59.3137514, 18.0571409 59.313862300000004, 18.056906700000003 59.3143691)",Local & Neighborhood,"LINESTRING (18.0571947 59.3137514, 18.0571409 59.313862300000004, 18.056906700000003 59.3143691)"
secondary,Guldfjärdsplan,"LINESTRING (18.0700647 59.321001, 18.0695006 59.321039600000006, 18.069233200000003 59.3210453, 18.068991500000003 59.32103480000001, 18.068802400000003 59.321011000000006)",Arterial & Major,"LINESTRING (18.0700647 59.321001, 18.0695006 59.321039600000006, 18.069233200000003 59.3210453, 18.068991500000003 59.32103480000001, 18.068802400000003 59.321011000000006)"
service,Ringvägen,"LINESTRING (18.0509181 59.31654640000001, 18.0508332 59.3164219)",Minor & Service,"LINESTRING (18.0509181 59.31654640000001, 18.0508332 59.3164219)"
residential,Fiskargatan,"LINESTRING (18.076828600000002 59.317494, 18.076785700000002 59.317519100000005, 18.0767835 59.31752590000001)",Local & Neighborhood,"LINESTRING (18.076828600000002 59.317494, 18.076785700000002 59.317519100000005, 18.0767835 59.31752590000001)"
tertiary_link,Hornsgatspåfarten,"LINESTRING (18.068579500000002 59.319657500000005, 18.0686158 59.319596000000004)",Arterial & Major,"LINESTRING (18.068579500000002 59.319657500000005, 18.0686158 59.319596000000004)"
residential,Lignagatan,"LINESTRING (18.0370797 59.31569760000001, 18.037115200000002 59.3156248)",Local & Neighborhood,"LINESTRING (18.0370797 59.31569760000001, 18.037115200000002 59.3156248)"
residential,Bondegatan,"LINESTRING (18.0867109 59.3138622, 18.087043700000002 59.3139064)",Local & Neighborhood,"LINESTRING (18.0867109 59.3138622, 18.087043700000002 59.3139064)"
residential,Högbergsgatan,"LINESTRING (18.075142800000002 59.31692640000001, 18.0752472 59.3169394, 18.075378100000002 59.3169558)",Local & Neighborhood,"LINESTRING (18.075142800000002 59.31692640000001, 18.0752472 59.3169394, 18.075378100000002 59.3169558)"
residential,Östgötagatan,"LINESTRING (18.0787665 59.309957600000004, 18.078806200000002 59.30987880000001)",Local & Neighborhood,"LINESTRING (18.0787665 59.309957600000004, 18.078806200000002 59.30987880000001)"
residential,Malmgårdsvägen,"LINESTRING (18.087562600000002 59.310373500000004, 18.0873858 59.3104528)",Local & Neighborhood,"LINESTRING (18.087562600000002 59.310373500000004, 18.0873858 59.3104528)"
residential,Kapellgränd,"LINESTRING (18.075764200000002 59.316090800000005, 18.0758689 59.316093900000006, 18.0769932 59.3162383)",Local & Neighborhood,"LINESTRING (18.075764200000002 59.316090800000005, 18.0758689 59.316093900000006, 18.0769932 59.3162383)"
residential,Hornskroken,"LINESTRING (18.047908 59.3162912, 18.0478647 59.3163829)",Local & Neighborhood,"LINESTRING (18.047908 59.3162912, 18.0478647 59.3163829)"
residential,Timmermansgatan,"LINESTRING (18.0591698 59.3199741, 18.059126900000003 59.3200675)",Local & Neighborhood,"LINESTRING (18.0591698 59.3199741, 18.059126900000003 59.3200675)"
residential,Havregatan,"LINESTRING (18.069675800000002 59.3076202, 18.069477300000003 59.307569300000004)",Local & Neighborhood,"LINESTRING (18.069675800000002 59.3076202, 18.069477300000003 59.307569300000004)"
residential,Lilla Erstagatan,"LINESTRING (18.0882469 59.3166882, 18.0882472 59.3166354)",Local & Neighborhood,"LINESTRING (18.0882469 59.3166882, 18.0882472 59.3166354)"
residential,Malmgårdsvägen,"LINESTRING (18.0921197 59.3084628, 18.0921662 59.3084441, 18.092217100000003 59.3084034, 18.0922331 59.308367200000006)",Local & Neighborhood,"LINESTRING (18.0921197 59.3084628, 18.0921662 59.3084441, 18.092217100000003 59.3084034, 18.0922331 59.308367200000006)"
residential,Östgötagatan,"LINESTRING (18.0768077 59.3138974, 18.0767452 59.314025400000006)",Local & Neighborhood,"LINESTRING (18.0768077 59.3138974, 18.0767452 59.314025400000006)"
service,,"LINESTRING (18.0968076 59.312512100000006, 18.096043 59.3126127, 18.095646300000002 59.312671900000005)",Minor & Service,"LINESTRING (18.0968076 59.312512100000006, 18.096043 59.3126127, 18.095646300000002 59.312671900000005)"
residential,Lundagatan,"LINESTRING (18.043837800000002 59.318263900000005, 18.0438033 59.318220000000004, 18.0437246 59.318177500000004, 18.0432449 59.3181225, 18.0418567 59.317948400000006)",Local & Neighborhood,"LINESTRING (18.043837800000002 59.318263900000005, 18.0438033 59.318220000000004, 18.0437246 59.318177500000004, 18.0432449 59.3181225, 18.0418567 59.317948400000006)"
residential,Kolmårdsgränd,"LINESTRING (18.0468921 59.3186127, 18.046873 59.318702, 18.046928700000002 59.318806, 18.046944800000002 59.3188832, 18.0469334 59.31897300000001, 18.046892800000002 59.319053700000005, 18.0467933 59.3191514, 18.0466993 59.319209, 18.046594000000002 59.319255500000004, 18.046460500000002 59.319300600000005, 18.0463132 59.31930560000001)",Local & Neighborhood,"LINESTRING (18.0468921 59.3186127, 18.046873 59.318702, 18.046928700000002 59.318806, 18.046944800000002 59.3188832, 18.0469334 59.31897300000001, 18.046892800000002 59.319053700000005, 18.0467933 59.3191514, 18.0466993 59.319209, 18.046594000000002 59.319255500000004, 18.046460500000002 59.319300600000005, 18.0463132 59.31930560000001)"
residential,Kocksgatan,"LINESTRING (18.084120900000002 59.314850500000006, 18.0839983 59.314834100000006, 18.0838702 59.314817000000005)",Local & Neighborhood,"LINESTRING (18.084120900000002 59.314850500000006, 18.0839983 59.314834100000006, 18.0838702 59.314817000000005)"
residential,Borgargatan,"LINESTRING (18.0341464 59.3180538, 18.0341822 59.317985, 18.0344808 59.3174107)",Local & Neighborhood,"LINESTRING (18.0341464 59.3180538, 18.0341822 59.317985, 18.0344808 59.3174107)"
residential,Södermannagatan,"LINESTRING (18.0798062 59.3148458, 18.0797819 59.314891900000006, 18.0797713 59.3149165, 18.0797409 59.3149743)",Local & Neighborhood,"LINESTRING (18.0798062 59.3148458, 18.0797819 59.314891900000006, 18.0797713 59.3149165, 18.0797409 59.3149743)"
residential,Swedenborgsgatan,"LINESTRING (18.0649905 59.313855200000006, 18.0650273 59.313777200000004, 18.0652475 59.313311000000006, 18.0652572 59.313290300000006)",Local & Neighborhood,"LINESTRING (18.0649905 59.313855200000006, 18.0650273 59.313777200000004, 18.0652475 59.313311000000006, 18.0652572 59.313290300000006)"
residential,Södermannagatan,"LINESTRING (18.082027 59.310389, 18.0819815 59.310481200000005)",Local & Neighborhood,"LINESTRING (18.082027 59.310389, 18.0819815 59.310481200000005)"
residential,Ringvägen,"LINESTRING (18.061909 59.3093488, 18.061890700000003 59.309291400000006, 18.061896400000002 59.3092375, 18.061948 59.309202500000005, 18.0619739 59.3091948)",Local & Neighborhood,"LINESTRING (18.061909 59.3093488, 18.061890700000003 59.309291400000006, 18.061896400000002 59.3092375, 18.061948 59.309202500000005, 18.0619739 59.3091948)"
residential,Ringvägen,"LINESTRING (18.069416500000003 59.3074409, 18.0698054 59.307404600000005, 18.070527000000002 59.307337600000004)",Local & Neighborhood,"LINESTRING (18.069416500000003 59.3074409, 18.0698054 59.307404600000005, 18.070527000000002 59.307337600000004)"
residential,Katarina Östra Kyrkogårdsgränd,"LINESTRING (18.079695400000002 59.316984000000005, 18.0795691 59.317245500000006)",Local & Neighborhood,"LINESTRING (18.079695400000002 59.316984000000005, 18.0795691 59.317245500000006)"
residential,Lorensbergsgatan,"LINESTRING (18.0342169 59.319464, 18.0339144 59.319439800000005, 18.033825800000002 59.3194176, 18.033614200000002 59.319398400000004, 18.0334754 59.3194024)",Local & Neighborhood,"LINESTRING (18.0342169 59.319464, 18.0339144 59.319439800000005, 18.033825800000002 59.3194176, 18.033614200000002 59.319398400000004, 18.0334754 59.3194024)"
tertiary,Skansbron,"LINESTRING (18.0797117 59.3036217, 18.079625200000002 59.3037642)",Arterial & Major,"LINESTRING (18.0797117 59.3036217, 18.079625200000002 59.3037642)"
residential,Bohusgatan,"LINESTRING (18.082102600000002 59.3070755, 18.0824085 59.3071178)",Local & Neighborhood,"LINESTRING (18.082102600000002 59.3070755, 18.0824085 59.3071178)"
residential,Östgötagatan,"LINESTRING (18.0804633 59.3065519, 18.080533300000003 59.306406300000006, 18.0806347 59.306202600000006)",Local & Neighborhood,"LINESTRING (18.0804633 59.3065519, 18.080533300000003 59.306406300000006, 18.0806347 59.306202600000006)"
trunk,Söderledstunneln,"LINESTRING (18.0720645 59.313215400000004, 18.0724293 59.31256260000001, 18.073301 59.310768, 18.0744241 59.308174300000005)",Arterial & Major,"LINESTRING (18.0720645 59.313215400000004, 18.0724293 59.31256260000001, 18.073301 59.310768, 18.0744241 59.308174300000005)"
residential,Katarina Östra Kyrkogårdsgränd,"LINESTRING (18.0799282 59.3165051, 18.0798749 59.316612400000004)",Local & Neighborhood,"LINESTRING (18.0799282 59.3165051, 18.0798749 59.316612400000004)"
residential,Åsögatan,"LINESTRING (18.0745492 59.3129781, 18.0744316 59.31296270000001)",Local & Neighborhood,"LINESTRING (18.0745492 59.3129781, 18.0744316 59.31296270000001)"
secondary,Ringvägen,"LINESTRING (18.061615 59.309437800000005, 18.061767 59.309392100000004, 18.061909 59.3093488)",Arterial & Major,"LINESTRING (18.061615 59.309437800000005, 18.061767 59.309392100000004, 18.061909 59.3093488)"
residential,Högbergsbacken,"LINESTRING (18.0612852 59.314943400000004, 18.0615269 59.314969500000004)",Local & Neighborhood,"LINESTRING (18.0612852 59.314943400000004, 18.0615269 59.314969500000004)"
residential,Folkungagatan,"LINESTRING (18.092078400000002 59.315618900000004, 18.092089700000002 59.315657200000004, 18.092095200000003 59.31567810000001, 18.0921007 59.315703000000006)",Local & Neighborhood,"LINESTRING (18.092078400000002 59.315618900000004, 18.092089700000002 59.315657200000004, 18.092095200000003 59.31567810000001, 18.0921007 59.315703000000006)"
residential,Åsögatan,"LINESTRING (18.0889089 59.314634500000004, 18.0891348 59.3146253)",Local & Neighborhood,"LINESTRING (18.0889089 59.314634500000004, 18.0891348 59.3146253)"
primary,Folkungagatan,"LINESTRING (18.103470400000003 59.314005200000004, 18.103403200000002 59.314013, 18.1032701 59.314028500000006, 18.1030476 59.314042900000004, 18.102162 59.314090500000006, 18.1014883 59.314100700000004)",Arterial & Major,"LINESTRING (18.103470400000003 59.314005200000004, 18.103403200000002 59.314013, 18.1032701 59.314028500000006, 18.1030476 59.314042900000004, 18.102162 59.314090500000006, 18.1014883 59.314100700000004)"
residential,Heleneborgsgatan,"LINESTRING (18.032644400000002 59.318750400000006, 18.0328057 59.318764900000005)",Local & Neighborhood,"LINESTRING (18.032644400000002 59.318750400000006, 18.0328057 59.318764900000005)"
residential,Metargatan,"LINESTRING (18.0846163 59.30817390000001, 18.0845661 59.308178100000006, 18.0841645 59.308222400000005, 18.0837574 59.3082858, 18.083357200000002 59.3083602)",Local & Neighborhood,"LINESTRING (18.0846163 59.30817390000001, 18.0845661 59.308178100000006, 18.0841645 59.308222400000005, 18.0837574 59.3082858, 18.083357200000002 59.3083602)"
service,,"LINESTRING (18.0944919 59.3110244, 18.094793000000003 59.311612700000005, 18.094943100000002 59.3118958, 18.0949537 59.311969100000006)",Minor & Service,"LINESTRING (18.0944919 59.3110244, 18.094793000000003 59.311612700000005, 18.094943100000002 59.3118958, 18.0949537 59.311969100000006)"
residential,Tjärhovsgatan,"LINESTRING (18.0749891 59.31500990000001, 18.075123 59.3150266)",Local & Neighborhood,"LINESTRING (18.0749891 59.31500990000001, 18.075123 59.3150266)"
